msno,total_secs,num_unq,paid_sum,plays_total,has_usage,has_payment,auto_renew_rate,cancel_txn_count,total_secs_lag1,total_secs_diff1,num_unq_lag1,num_unq_diff1,paid_sum_lag1,paid_sum_diff1,plays_total_lag1,plays_total_diff1,has_usage_lag1,has_usage_diff1,has_payment_lag1,has_payment_diff1,auto_renew_rate_lag1,auto_renew_rate_diff1,cancel_txn_count_lag1,cancel_txn_count_diff1,is_ativo,is_ativo_fut,churn_3m,label_trust,fut_active_rate,churn_rate_month,safra
+++IZseRRiQS9aaSkH6cMYU6bGDcxUieAi/tH67sC5s=,446494.575,1472.0,,1877.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
+++l/EXNMLTijfLBa8p2TUVVVp2aFGSuUI/h7mLmthw=,22478.436999999998,137.0,149.0,154.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
+++rMjxjARDHEx9zEFOpvJEDBDhT1ncn0PEnCx3llA0=,1719.1479999999997,9.0,,10.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
+++snpr7pmobhLKUgSHTv/mpkqgBT0tQJ0zQj6qKrqc=,671863.109,1983.0,149.0,3547.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++/Gw1B9K+XOlB3hLTloeUK2QlCa2m+BJ8TrzGf7djI=,129135.866,555.0,149.0,654.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++/ORWBI93a/9vljzuLj77ZwsyS4Qx2K/M0qjLXrxE4=,1095488.103,2067.0,,4881.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++/UDNo9DLrxT8QVGiDi1OnWfczAdEwThaVyD0fXO50=,35106.351,179.0,149.0,193.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++/ZHqwUNa7U21Qz+zqteiXlZapxey86l6eEorrak/g=,16674.686,60.0,,76.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++/imsKMXignukHBIRfOhocobbR8Qk1Ew5mhjOCJg5A=,9013.654999999999,40.0,,41.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++0+IdHga8fCSioOVpU8K7y4Asw8AveIApVH2r9q9yY=,266645.11999999994,1354.0,,1403.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++3UMuEhLnDO/korlCruW+AryIV2apLHAaiVrA3564U=,116939.506,478.0,,509.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++3Z+W8OPnpbHYfrKwqRKN1bF83XEbxjdYUolhGdHZg=,22781.624,59.0,149.0,123.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++3brN43Yd6GURegTBR85oMQcJrgW1+/N4B8Rjj75fY=,659.536,11.0,,13.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++4GFJZ9L93xHLjx5xvAtb27thv3KXInpLX5XyEX5dE=,2698.452,16.0,,16.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++4RuqBw0Ss6bQU4oMxaRlbBPoWzoEiIZaxPM04Y4+U=,45312.297,218.0,129.0,236.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++4TTdpnmM24NYX7LEVvZggYMuzytn6fmmDaBzt1WB8=,121.835,3.0,,3.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++4cUL0b9CfW8cj0A/wfSxQc4k4fcVtWcLqk2UOdpKs=,656681.686,1750.0,149.0,2587.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++5HPICzApqAq9mYdGB/mdke0MbubM8yUKLOmrPt4xU=,34127.99,223.0,150.0,253.0,1,1,0.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++5IYGT7+CWMJ8hRsqoQLoaTXBLMJzlfK12eMTr9Ilw=,55294.67299999999,50.0,149.0,213.0,1,1,1.0,1.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++5nB0VuUuyj9xlngqv3OKUrmQXWZkO5QtB9FYXWTok=,246058.75700000004,360.0,129.0,958.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++5wYjoMgQHoRuD3GbbvmphZbBBwymzv5Q4l8sywtuU=,272324.457,1019.0,149.0,1136.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++6P09mCSJSh+Ft2pvZ0FWTrtcI3v1A7h3/coh8dBKw=,165003.84,666.0,149.0,1008.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++7IULiyKbNc8jllqhRuyKZjX1J4mPF4tsudFCJfv4k=,1376771.8989999997,4161.0,149.0,6129.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++7jYuHyUSp41PyuttFx/MCepv7TdFQULgN8TxZULZk=,60049.34900000001,242.0,149.0,338.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
