free_months,accept_rate,top_frac,k,TP,FP,precision_at_k,base_churn_rate_test,lift,ARPU_NTD,expected_gain_NTD,expected_cost_NTD,expected_net_NTD
1,0.3,0.01,89633,1229,88404,0.013711467874555131,0.04739347913762491,0.28931127496967873,144.2380587122267,584986.2947191778,12751221.342395687,-12166235.04767651
1,0.3,0.03,268901,4491,264410,0.016701313866441553,0.04739347913762491,0.35239687337456205,144.2380587122267,2137651.301532813,38137985.10409986,-36000333.80256705
1,0.3,0.05,448169,31015,417154,0.06920380481470159,0.04739347913762491,1.4601967628023709,144.2380587122267,14762693.190167045,60169483.14404021,-45406789.953873165
1,0.3,0.1,896338,81990,814348,0.09147219017825865,0.04739347913762491,1.9300585616986363,144.2380587122267,39026058.83159104,117459974.63618438,-78433915.80459334
1,0.3,0.2,1792677,273501,1519176,0.15256568807431567,0.04739347913762491,3.2191282609002694,144.2380587122267,130182535.87631395,219122997.08220568,-88940461.20589173
1,0.5,0.01,89633,1229,88404,0.013711467874555131,0.04739347913762491,0.28931127496967873,144.2380587122267,974977.1578652964,12751221.342395687,-11776244.18453039
1,0.5,0.03,268901,4491,264410,0.016701313866441553,0.04739347913762491,0.35239687337456205,144.2380587122267,3562752.169221355,38137985.10409986,-34575232.934878506
1,0.5,0.05,448169,31015,417154,0.06920380481470159,0.04739347913762491,1.4601967628023709,144.2380587122267,24604488.650278408,60169483.14404021,-35564994.49376181
1,0.5,0.1,896338,81990,814348,0.09147219017825865,0.04739347913762491,1.9300585616986363,144.2380587122267,65043431.38598506,117459974.63618438,-52416543.25019932
1,0.5,0.2,1792677,273501,1519176,0.15256568807431567,0.04739347913762491,3.2191282609002694,144.2380587122267,216970893.1271899,219122997.08220568,-2152103.9550157785
1,0.7,0.01,89633,1229,88404,0.013711467874555131,0.04739347913762491,0.28931127496967873,144.2380587122267,1364968.0210114147,12751221.342395687,-11386253.321384273
1,0.7,0.03,268901,4491,264410,0.016701313866441553,0.04739347913762491,0.35239687337456205,144.2380587122267,4987853.036909897,38137985.10409986,-33150132.067189965
1,0.7,0.05,448169,31015,417154,0.06920380481470159,0.04739347913762491,1.4601967628023709,144.2380587122267,34446284.11038978,60169483.14404021,-25723199.033650436
1,0.7,0.1,896338,81990,814348,0.09147219017825865,0.04739347913762491,1.9300585616986363,144.2380587122267,91060803.94037907,117459974.63618438,-26399170.69580531
