feature,separation_score
paid_sum_diff1,16.402872550898163
paid_sum_lag1,2.132403519790387
total_secs,1.889045120642616
has_payment_diff1,1.8576763850242353
plays_total,1.8007217459019575
num_unq,1.6585962677808606
total_secs_lag1,1.4871798146298132
plays_total_lag1,1.4271681193210681
num_unq_lag1,1.3450384185112674
paid_sum,1.1614402579929408
has_payment,1.1408398600196141
has_payment_lag1,1.1389993908314078
plays_total_diff1,0.7370681786537319
total_secs_diff1,0.7166113436524086
num_unq_diff1,0.7042609598195506
